particiant_id,favourite_genre,sleep_hr,TV_hr,height,weight,gender
1,comedy,4,1,179,58.6,female
2,comedy,6.5,1.5,184,51.2,male
3,comedy,8,1,180,51.3,female
4,action,8,3.5,170,66.3,male
5,comedy,7,3,175,69.2,male
6,thriller,5.5,0,55,190,female
7,comedy,8,1,173,69.7,male
8,comedy,5,1,185,55.3,male
9,comedy,8,2,NA,50.2,male
10,comedy,7,1,162,69.1,female
11,thriller,8,1,186,63,male
12,thriller,6,3,179,63.3,male
13,comedy,8,3,177,72.4,female
14,comedy,6,0,156,50.3,female
15,comedy,5,2,NA,NA,female
16,thriller,6.5,2,178,44.2,male
17,comedy,8.5,1,182,37.3,male
18,comedy,6.5,1.5,160,82.9,female
19,comedy,5,0,NA,51.7,male
20,thriller,5.5,1.5,183,58.8,male
21,comedy,7.5,0.5,179,62.1,male
22,comedy,7,2,183,40.7,male
23,action,7,3,167,71.5,male
24,thriller,8,1,167,67.3,male
25,comedy,9.5,1,178,58.2,female
26,action,9,1,185,72.1,male
27,comedy,7.5,1.5,186,74.7,male
28,comedy,6,2,178,49.2,male
29,comedy,8.5,1,180,79.6,male
30,comedy,7,2.5,180,59,male
31,thriller,8.5,1,178,47.2,male
32,thriller,6,0,178,59.4,male
33,thriller,7,0.5,180,49.2,female
34,comedy,5,0,155,65.1,female
35,comedy,8,4,205,55.2,male
36,comedy,6,2,159,42.2,female
37,comedy,7,2,153,51.8,female
38,action,6,2,175,43.4,male
39,action,7.5,0,195,77.2,male
40,comedy,5,0,188,52,male
41,action,9.5,0,165,64.7,male
42,comedy,7.5,4,180,59.9,male
43,comedy,6,0,184,34.1,male
44,comedy,6.5,0,180,59.4,male
45,action,NA,0.5,181,46.4,male
46,thriller,8,0,159,70.2,female
47,comedy,2,0,170,75.4,male
48,action,3.5,2,173,49.4,female
49,thriller,9,2,165,60.9,female
50,comedy,6,1,177,64.3,male
51,comedy,8,2,168,46.2,female
52,comedy,6,0.5,170,63.4,male
53,thriller,6.5,3,160,52.4,male
54,comedy,9,1.5,180,69.7,male
55,thriller,7,1.5,157,55.8,female
56,action,7,0.5,180,65,male
57,comedy,6,2,170,56,male
58,comedy,3.5,1.5,180,46.5,male
59,comedy,7,2.5,165,49.9,female
60,action,7,0,183,56.1,male
